Lælie;le.li
libertinerions;li.bɛʁ.ti.nə.ʁjɔ̃
libertinerons;li.bɛʁ.ti.nə.ʁɔ̃
libertineront;li.bɛʁ.ti.nə.ʁɔ̃
libertines;li.bɛʁ.tin
libertinez;li.bɛʁ.ti.ne
libertiniez;li.bɛʁ.ti.nje
libertinions;li.bɛʁ.ti.njɔ̃
libertinisme;li.bɛʁ.ti.nism
libertinons;li.bɛʁ.ti.nɔ̃
libertins;li.bɛʁ.tɛ̃
liberty;li.bɛʁ.ti
libette;li.bɛt
libica;li.bjɛn
libiche;li.bjɛn
libici;li.bjɛn
libico;li.bjɛn
libidibi;li.bi.di.bi
libidinale;li.bi.di.nal
libidinales;li.bi.di.nal
libidinaux;li.bi.di.no
libidineuse;li.bi.di.nøz
libidineuses;li.bi.di.nøz
libidineux;li.bi.di.nø
libido;li.bi.do
libitinaire;li.bi.ti.nɛʁ
libitinaires;li.bɛʁ.ta.ʁism
liblikas;la.o
libocèdre;li.bɔ.sɛdʁ
libot;li.bo
libra;lø
libraire;li.bʁɛʁ
libraires;li.bɛʁ.ta.ʁism
librairie;li.bʁɛ.ʁi
librairies;li.bʁe.ʁi
libramens;li.bʁa.mɑ̃
libraments;li.bʁa.mɑ̃
libration;li.bʁa.sjɔ̃
libre;libʁ
libreria;lø
libres;libʁ
librettiste;li.bʁe.tist
librettistes;li.bɛʁ.ta.ʁism
libretto;li.bʁɛ.to
librettos;li.bʁɛ.to
libriste;libʁ.ist
libristes;libʁ.ist
libros;ɛk.bɔ.lik
libyen;li.bjɛ̃
libyenne;li.bjɛn
libyennes;li.bjɛn
libyens;li.bjɛ̃
licéïté;li.se.i.te
lice;lis
licem;li.vi
licença;lɛst
licence;li.sɑ̃s
licences;li.sɑ̃s
licenciâmes;li.sɑ̃.sjam
licenciât;li.sɑ̃.sja
licenciâtes;li.sɑ̃.sjat
licencièrent;li.sɑ̃.sjɛʁ
licencié;li.sɑ̃.sje
licenciée;li.sɑ̃.sje
licenciées;li.sɑ̃.sje
licenciés;li.sɑ̃.sje
licencia;li.sɑ̃.sja
licenciai;li.sɑ̃.sje
licenciaient;li.sɑ̃.sjɛ
licenciais;li.sɑ̃.sjɛ
licenciait;li.sɑ̃.sjɛ
licenciant;li.sɑ̃.sjɑ̃
licencias;li.sɑ̃.sja
licenciasse;li.sɑ̃.sjas
licenciassent;li.sɑ̃.sjas
licenciasses;li.sɑ̃.sjas
licenciassiez;li.sɑ̃.sja.sje
licenciassions;li.sɑ̃.sja.sjɔ̃
licencie;li.sɑ̃.si
licenciemens;li.sɑ̃.si.mɑ̃
licenciement;li.sɑ̃.si.mɑ̃
licenciements;li.sɑ̃.si.mɑ̃
licencient;li.sɑ̃.si
licencier;li.sɑ̃.sje
licenciera;li.sɑ̃.si.ʁa
licencierai;li.sɑ̃.si.ʁe
licencieraient;li.sɑ̃.si.ʁɛ
licencierais;li.sɑ̃.si.ʁɛ
licencierait;li.sɑ̃.si.ʁɛ
licencieras;li.sɑ̃.si.ʁa
licencierez;li.sɑ̃.si.ʁe
licencieriez;li.sɑ̃.si.ʁje
licencierions;li.sɑ̃.si.ʁjɔ̃
licencierons;li.sɑ̃.si.ʁɔ̃
licencieront;li.sɑ̃.si.ʁɔ̃
licencies;li.sɑ̃.si
licencieur;li.sɑ̃.sjœʁ
licencieurs;li.sɑ̃.sjœʁ
licencieuse;li.sɑ̃.sjøz
licencieuses;li.sɑ̃.sjøz
licenciez;li.sɑ̃.sje
licenciiez;li.sɑ̃.si.je
licenciions;li.sɑ̃.si.jɔ̃
licencions;li.sɑ̃.sjɔ̃
licensar;li.bɛʁ.ti.na
licentia;li.bi.do
licenziante;ɛn.yplɛ
liceo;li.bɛʁ.ti.na
lices;lis
liceuse;li.søz
lichâmes;li.ʃam
lichât;li.ʃa
lichâtes;li.ʃat
lichèrent;li.ʃɛʁ
liché;li.ʃe
lichée;li.ʃe
lichées;li.ʃe
lichénée;li.ke.ne
lichénées;li.bɛʁ.ta.ʁism
lichéneuse;li.ke.nøz
lichéneuses;li.ke.nøz
lichéneux;li.ke.nø
lichénicoles;li.ke.ni.kɔl
lichénifiâmes;li.ke.ni.fjam
lichénifiât;li.ke.ni.fja
lichénifiâtes;li.ke.ni.fjat
lichénifièrent;li.ke.ni.fjɛʁ
lichénifié;li.ke.ni.fje
lichénifiée;li.ke.ni.fje
lichénifiées;li.ke.ni.fje
lichénifiés;li.ke.ni.fje
lichénifia;li.ke.ni.fja
lichénifiai;li.ke.ni.fje
lichénifiaient;li.ke.ni.fjɛ
lichénifiais;li.ke.ni.fjɛ
lichénifiait;li.ke.ni.fjɛ
lichénifiant;li.ke.ni.fjɑ̃
lichénifias;li.ke.ni.fja
lichénifiasse;li.ke.ni.fjas
lichénifiassent;li.ke.ni.fjas
lichénifiasses;li.ke.ni.fjas
lichénifiassiez;li.ke.ni.fja.sje
lichénifiassions;li.ke.ni.fja.sjɔ̃
lichénifie;li.ke.ni.fi
lichénifient;li.ke.ni.fi
lichénifier;li.ke.ni.fje
lichénifiera;li.ke.ni.fi.ʁa
lichénifierai;li.ke.ni.fi.ʁe
lichénifieraient;li.ke.ni.fi.ʁɛ
lichénifierais;li.ke.ni.fi.ʁɛ
lichénifierait;li.ke.ni.fi.ʁɛ
lichénifieras;li.ke.ni.fi.ʁa
lichénifierez;li.ke.ni.fi.ʁe
lichénifieriez;li.ke.ni.fi.ʁje
lichénifierions;li.ke.ni.fi.ʁjɔ̃
lichénifierons;li.ke.ni.fi.ʁɔ̃
lichénifieront;li.ke.ni.fi.ʁɔ̃
lichénifies;li.ke.ni.fi
lichénifiez;li.ke.ni.fje
lichénifiiez;li.ke.ni.fi.je
lichénifiions;li.ke.ni.fi.jɔ̃
lichénifions;li.ke.ni.fjɔ̃
lichénisâmes;li.ke.ni.zam
lichénisât;li.ke.ni.za
lichénisâtes;li.ke.ni.zat
lichénisèrent;li.ke.ni.zɛʁ
lichénisé;li.ke.ni.ze
lichénisée;li.ke.ni.ze
lichénisées;li.ke.ni.ze
lichénisés;li.ke.ni.ze
lichénisa;li.ke.ni.za
lichénisai;li.ke.ni.ze
lichénisaient;li.ke.ni.zɛ
lichénisais;li.ke.ni.zɛ
lichénisait;li.ke.ni.zɛ
lichénisant;li.ke.ni.zɑ̃
lichénisas;li.ke.ni.za
lichénisasse;li.ke.ni.zas
lichénisassent;li.ke.ni.zas
lichénisasses;li.ke.ni.zas
lichénisassiez;li.ke.ni.za.sje
lichénisassions;li.ke.ni.za.sjɔ̃
lichénise;li.ke.niz
lichénisent;li.ke.niz
lichéniser;li.ke.ni.ze
lichénisera;li.ke.ni.zə.ʁa
lichéniserai;li.ke.ni.zə.ʁe
lichéniseraient;li.ke.ni.zə.ʁɛ
lichéniserais;li.ke.ni.zə.ʁɛ
lichéniserait;li.ke.ni.zə.ʁɛ
lichéniseras;li.ke.ni.zə.ʁa
lichéniserez;li.ke.ni.zə.ʁe
lichéniseriez;li.ke.ni.zə.ʁje
lichéniserions;li.ke.ni.zə.ʁjɔ̃
lichéniserons;li.ke.ni.zə.ʁɔ̃
lichéniseront;li.ke.ni.zə.ʁɔ̃
lichénises;li.ke.niz
lichénisez;li.ke.ni.ze
lichénisiez;li.ke.ni.zje
lichénisions;li.ke.ni.zjɔ̃
lichénisons;li.ke.ni.zɔ̃
lichénoïde;li.ke.nɔ.id
lichénoïdes;li.bɛʁ.ta.ʁism
lichénographe;li.ke.nɔ.ɡʁaf
lichénographie;li.ke.nɔ.ɡʁa.fi
lichénographies;li.bɛʁ.ta.ʁism
lichénographique;li.ke.nɔ.ɡʁa.fik
lichénographiques;li.ke.nɔ.ɡʁa.fik
lichénologie;li.kɛ.nɔ.lɔ.ʒi
lichénologies;li.bɛʁ.ta.ʁism
lichénologue;li.ke.nɔ.lɔɡ
lichénologues;li.bɛʁ.ta.ʁism
lichés;li.ʃe
licha;li.ʃa
lichai;li.ʃe
lichaient;li.ʃɛ
lichaillâmes;li.ʃa.jam
lichaillât;li.ʃa.ja
lichaillâtes;li.ʃa.jat
lichaillèrent;li.ʃa.jɛʁ
lichaillé;li.ʃa.je
lichaillée;li.ʃa.je
lichaillées;li.ʃa.je
lichaillés;li.ʃa.je
lichailla;li.ʃa.ja
lichaillai;li.ʃa.je
lichaillaient;li.ʃa.jɛ
lichaillais;li.ʃa.jɛ
lichaillait;li.ʃa.jɛ
lichaillant;li.ʃa.jɑ̃
lichaillas;li.ʃa.ja
lichaillasse;li.ʃa.jas
lichaillassent;li.ʃa.jas
lichaillasses;li.ʃa.jas
lichaillassiez;li.ʃa.ja.sje
lichaillassions;li.ʃa.ja.sjɔ̃
lichaille;li.ʃaj
lichaillent;li.ʃaj
lichailler;li.ʃɑ.je
lichaillera;li.ʃa.jə.ʁa
lichaillerai;li.ʃa.jə.ʁe
lichailleraient;li.ʃa.jə.ʁɛ
lichaillerais;li.ʃa.jə.ʁɛ
lichaillerait;li.ʃa.jə.ʁɛ
lichailleras;li.ʃa.jə.ʁa
lichaillerez;li.ʃa.jə.ʁe
lichailleriez;li.ʃa.jə.ʁje
lichaillerions;li.ʃa.jə.ʁjɔ̃
lichaillerons;li.ʃa.jə.ʁɔ̃
lichailleront;li.ʃa.jə.ʁɔ̃
lichailles;li.ʃaj
lichaillez;li.ʃa.je
lichailliez;li.ʃa.je
lichaillions;li.ʃa.jɔ̃
lichaillons;li.ʃa.jɔ̃
lichais;li.ʃɛ
lichait;li.ʃɛ
lichant;li.ʃɑ̃
lichas;li.ʃa
lichasse;li.ʃas
lichassent;li.ʃas
lichasses;li.ʃas
lichassiez;li.ʃa.sje
lichassions;li.ʃa.sjɔ̃
lichaven;li.ʃa.vɛn
lichavens;li.ʃa.vɛn
liche;liʃ
lichecaillâmes;liʃ.ka.jam
lichecaillât;liʃ.ka.ja
lichecaillâtes;liʃ.ka.jat
lichecaillèrent;liʃ.ka.jɛʁ
lichecaillé;liʃ.ka.je
lichecaillée;liʃ.ka.je
lichecaillées;liʃ.ka.je
lichecaillés;liʃ.ka.je
lichecailla;liʃ.ka.ja
lichecaillai;liʃ.ka.je
lichecaillaient;liʃ.ka.jɛ
lichecaillais;liʃ.ka.jɛ
lichecaillait;liʃ.ka.jɛ
lichecaillant;liʃ.ka.jɑ̃
lichecaillas;liʃ.ka.ja
lichecaillasse;liʃ.ka.jas
lichecaillassent;liʃ.ka.jas
lichecaillasses;liʃ.ka.jas
lichecaillassiez;liʃ.ka.ja.sje
lichecaillassions;liʃ.ka.ja.sjɔ̃
lichecaille;liʃ.kaj
lichecaillent;liʃ.kaj
lichecailler;liʃ.kɑ.je
lichecaillera;liʃ.ka.jə.ʁa
lichecaillerai;liʃ.ka.jə.ʁe
lichecailleraient;liʃ.ka.jə.ʁɛ
lichecaillerais;liʃ.ka.jə.ʁɛ
lichecaillerait;liʃ.ka.jə.ʁɛ
lichecailleras;liʃ.ka.jə.ʁa
lichecaillerez;liʃ.ka.jə.ʁe
lichecailleriez;liʃ.ka.jə.ʁje
lichecaillerions;liʃ.ka.jə.ʁjɔ̃
lichecaillerons;liʃ.ka.jə.ʁɔ̃
lichecailleront;liʃ.ka.jə.ʁɔ̃
lichecailles;liʃ.kaj
lichecaillez;liʃ.ka.je
lichecailliez;liʃ.ka.je
lichecaillions;liʃ.ka.jɔ̃
lichecaillons;liʃ.ka.jɔ̃
lichen;li.kɛn
lichenologue;li.kɛ.nɔ.lɔɡ
lichenologues;li.kɛ.nɔ.lɔɡ
lichens;li.kɛn
lichent;liʃ
licher;li.ʃe
lichera;li.ʃə.ʁa
licherai;li.ʃə.ʁe
licheraient;li.ʃə.ʁɛ
licherais;li.ʃə.ʁɛ
licherait;li.ʃə.ʁɛ
licheras;li.ʃə.ʁa
licherez;li.ʃə.ʁe
licheriez;li.ʃə.ʁje
licherions;li.ʃə.ʁjɔ̃
licherons;li.ʃə.ʁɔ̃
licheront;li.ʃə.ʁɔ̃
liches;liʃ
lichetrognâmes;liʃ.tʁɔ.ɲam
lichetrognât;liʃ.tʁɔ.ɲa
lichetrognâtes;liʃ.tʁɔ.ɲat
lichetrognèrent;liʃ.tʁɔ.ɲɛʁ
lichetrogné;liʃ.tʁɔ.ɲe
lichetrognée;liʃ.tʁɔ.ɲe
lichetrognées;liʃ.tʁɔ.ɲe
lichetrognés;liʃ.tʁɔ.ɲe
lichetrogna;liʃ.tʁɔ.ɲa
lichetrognai;liʃ.tʁɔ.ɲe
lichetrognaient;liʃ.tʁɔ.ɲɛ
lichetrognais;liʃ.tʁɔ.ɲɛ
lichetrognait;liʃ.tʁɔ.ɲɛ
lichetrognant;liʃ.tʁɔ.ɲɑ̃
lichetrognas;liʃ.tʁɔ.ɲa
lichetrognasse;liʃ.tʁɔ.ɲas
lichetrognassent;liʃ.tʁɔ.ɲas
lichetrognasses;liʃ.tʁɔ.ɲas
lichetrognassiez;liʃ.tʁɔ.ɲa.sje
lichetrognassions;liʃ.tʁɔ.ɲa.sjɔ̃
lichetrogne;liʃ.tʁɔɲ
lichetrognent;liʃ.tʁɔɲ
lichetrogner;liʃ.tʁɔ.ɲe
lichetrognera;liʃ.tʁɔ.ɲə.ʁa
lichetrognerai;liʃ.tʁɔ.ɲə.ʁe
lichetrogneraient;liʃ.tʁɔ.ɲə.ʁɛ
lichetrognerais;liʃ.tʁɔ.ɲə.ʁɛ
lichetrognerait;liʃ.tʁɔ.ɲə.ʁɛ
lichetrogneras;liʃ.tʁɔ.ɲə.ʁa
lichetrognerez;liʃ.tʁɔ.ɲə.ʁe
lichetrogneriez;liʃ.tʁɔ.ɲə.ʁje
lichetrognerions;liʃ.tʁɔ.ɲə.ʁjɔ̃
lichetrognerons;liʃ.tʁɔ.ɲə.ʁɔ̃
lichetrogneront;liʃ.tʁɔ.ɲə.ʁɔ̃
lichetrognes;liʃ.tʁɔɲ
lichetrognez;liʃ.tʁɔ.ɲe
lichetrogniez;liʃ.tʁɔ.ɲe
lichetrognions;liʃ.tʁɔ.ɲɔ̃
lichetrognons;liʃ.tʁɔ.ɲɔ̃
lichetronnâmes;liʃ.tʁɔ.nam
lichetronnât;liʃ.tʁɔ.na
lichetronnâtes;liʃ.tʁɔ.nat
lichetronnèrent;liʃ.tʁɔ.nɛʁ
lichetronné;liʃ.tʁɔ.ne
lichetronnée;liʃ.tʁɔ.ne
lichetronnées;liʃ.tʁɔ.ne
lichetronnés;liʃ.tʁɔ.ne
lichetronna;liʃ.tʁɔ.na
lichetronnai;liʃ.tʁɔ.ne
lichetronnaient;liʃ.tʁɔ.nɛ
lichetronnais;liʃ.tʁɔ.nɛ
lichetronnait;liʃ.tʁɔ.nɛ
lichetronnant;liʃ.tʁɔ.nɑ̃
lichetronnas;liʃ.tʁɔ.na
lichetronnasse;liʃ.tʁɔ.nas
lichetronnassent;liʃ.tʁɔ.nas
lichetronnasses;liʃ.tʁɔ.nas
lichetronnassiez;liʃ.tʁɔ.na.sje
lichetronnassions;liʃ.tʁɔ.na.sjɔ̃
lichetronne;liʃ.tʁɔn
lichetronnent;liʃ.tʁɔn
lichetronner;liʃ.tʁɔ.ne
lichetronnera;liʃ.tʁɔ.nə.ʁa
lichetronnerai;liʃ.tʁɔ.nə.ʁe
lichetronneraient;liʃ.tʁɔ.nə.ʁɛ
lichetronnerais;liʃ.tʁɔ.nə.ʁɛ
lichetronnerait;liʃ.tʁɔ.nə.ʁɛ
lichetronneras;liʃ.tʁɔ.nə.ʁa
lichetronnerez;liʃ.tʁɔ.nə.ʁe
lichetronneriez;liʃ.tʁɔ.nə.ʁje
lichetronnerions;liʃ.tʁɔ.nə.ʁjɔ̃
lichetronnerons;liʃ.tʁɔ.nə.ʁɔ̃
lichetronneront;liʃ.tʁɔ.nə.ʁɔ̃
lichetronnes;liʃ.tʁɔn
lichetronnez;liʃ.tʁɔ.ne
lichetronniez;liʃ.tʁɔ.nje
lichetronnions;liʃ.tʁɔ.njɔ̃
lichetronnons;liʃ.tʁɔ.nɔ̃
lichettes;li.ʃɛt
licheur;li.ʃœʁ
licheurs;li.ʃœʁ
licheuse;li.ʃøz
licheuses;li.ʃøz
licheux;li.ʃø
lichez;li.ʃe
lichiez;li.ʃje
lichions;li.ʃjɔ̃
lichons;li.ʃɔ̃
lichotâmes;li.ʃɔ.tam
lichotât;li.ʃɔ.ta
lichotâtes;li.ʃɔ.tat
lichotèrent;li.ʃɔ.tɛʁ
lichoté;li.ʃɔ.te
lichotée;li.ʃɔ.te
lichotées;li.ʃɔ.te
lichotés;li.ʃɔ.te
lichota;li.ʃɔ.ta
lichotai;li.ʃɔ.te
lichotaient;li.ʃɔ.tɛ
lichotais;li.ʃɔ.tɛ
lichotait;li.ʃɔ.tɛ
lichotant;li.ʃɔ.tɑ̃
lichotas;li.ʃɔ.ta
lichotasse;li.ʃɔ.tas
lichotassent;li.ʃɔ.tas
lichotasses;li.ʃɔ.tas
lichotassiez;li.ʃɔ.ta.sje
lichotassions;li.ʃɔ.ta.sjɔ̃
lichote;li.ʃɔt
lichotent;li.ʃɔt
lichoter;li.ʃɔ.te
lichotera;li.ʃɔ.tə.ʁa
lichoterai;li.ʃɔ.tə.ʁe
lichoteraient;li.ʃɔ.tə.ʁɛ
lichoterais;li.ʃɔ.tə.ʁɛ
lichoterait;li.ʃɔ.tə.ʁɛ
lichoteras;li.ʃɔ.tə.ʁa
lichoterez;li.ʃɔ.tə.ʁe
lichoteriez;li.ʃɔ.tə.ʁje
lichoterions;li.ʃɔ.tə.ʁjɔ̃
lichoterons;li.ʃɔ.tə.ʁɔ̃
lichoteront;li.ʃɔ.tə.ʁɔ̃
lichotes;li.ʃɔt
lichotez;li.ʃɔ.te
lichotiez;li.ʃɔ.tje
lichotions;li.ʃɔ.tjɔ̃
lichotons;li.ʃɔ.tɔ̃
lichottâmes;li.ʃɔ.tam
lichottât;li.ʃɔ.ta
lichottâtes;li.ʃɔ.tat
lichottèrent;li.ʃɔ.tɛʁ
lichotté;li.ʃɔ.te
lichottée;li.ʃɔ.te
lichottées;li.ʃɔ.te
lichottés;li.ʃɔ.te
lichotta;li.ʃɔ.ta
lichottai;li.ʃɔ.te
lichottaient;li.ʃɔ.tɛ
lichottais;li.ʃɔ.tɛ
lichottait;li.ʃɔ.tɛ
lichottant;li.ʃɔ.tɑ̃
lichottas;li.ʃɔ.ta
lichottasse;li.ʃɔ.tas
lichottassent;li.ʃɔ.tas
lichottasses;li.ʃɔ.tas
lichottassiez;li.ʃɔ.ta.sje
lichottassions;li.ʃɔ.ta.sjɔ̃
lichotte;li.ʃɔt
lichottent;li.ʃɔt
lichotter;li.ʃɔ.te
lichottera;li.ʃɔ.tə.ʁa
lichotterai;li.ʃɔ.tə.ʁe
lichotteraient;li.ʃɔ.tə.ʁɛ
lichotterais;li.ʃɔ.tə.ʁɛ
lichotterait;li.ʃɔ.tə.ʁɛ
lichotteras;li.ʃɔ.tə.ʁa
lichotterez;li.ʃɔ.tə.ʁe
lichotteriez;li.ʃɔ.tə.ʁje
lichotterions;li.ʃɔ.tə.ʁjɔ̃
lichotterons;li.ʃɔ.tə.ʁɔ̃
lichotteront;li.ʃɔ.tə.ʁɔ̃
lichottes;li.ʃɔt
lichottez;li.ʃɔ.te
lichottiez;li.ʃɔ.tje
lichottions;li.ʃɔ.tjɔ̃
lichottons;li.ʃɔ.tɔ̃
lici;li.vi
licibus;li.vi
licier;li.sje
liciers;li.sje
licis;li.vi
licitâmes;li.si.tam
licitât;li.si.ta
licitâtes;li.si.tat
licitèrent;li.si.tɛʁ
licité;li.si.te
licitée;li.si.te
licitées;li.si.te
licités;li.si.te
licita;li.si.ta
licitai;li.si.te
licitaient;li.si.tɛ
licitais;li.si.tɛ
licitait;li.si.tɛ
licitant;li.si.tɑ̃
licitas;li.si.ta
licitasse;li.si.tas
licitassent;li.si.tas
licitasses;li.si.tas
licitassiez;li.si.ta.sje
licitassions;li.si.ta.sjɔ̃
licitatoire;li.si.ta.twaʁ
licite;li.sit
licitent;li.sit
liciter;li.si.te
licitera;li.si.tə.ʁa
liciterai;li.si.tə.ʁe
liciteraient;li.si.tə.ʁɛ
liciterais;li.si.tə.ʁɛ
liciterait;li.si.tə.ʁɛ
liciteras;li.si.tə.ʁa
liciterez;li.si.tə.ʁe
liciteriez;li.si.tə.ʁje
liciterions;li.si.tə.ʁjɔ̃
liciterons;li.si.tə.ʁɔ̃
liciteront;li.si.tə.ʁɔ̃
licites;li.sit
licitez;li.si.te
licitiez;li.si.tje
licitions;li.si.tjɔ̃
licitons;li.si.tɔ̃
licks;lod
lico;li.bɛʁ.ti.na
licol;li.kɔl
licols;li.kɔl
licorne;li.kɔʁn
licornes;li.kɔʁn
licornet;li.kɔʁ.nɛ
licou;li.ku
licous;li.ku
licteur;lik.tœʁ
licteurs;lik.tœʁ
licum;li.vi
lidar;li.daʁ
lidié;li.dje
lidiés;li.dje
lidia;li.dja
lido;li.do
lidocaïne;li.do.ka.in
lidt;lav
lie;li
liece;lɛz
liechtensteinlane;la.o
liechtensteinois;liʃ.tən.ʃtaj.nwa
liechtensteinoise;liʃ.tən.ʃtaj.nwaz
liechtensteinoises;liʃ.tən.ʃtaj.nwaz
lied;lid
lieder;li.dœʁ
lieds;lid
liement;li.mɑ̃
liements;li.mɑ̃
lien;ljɛ̃
lienne;ljɑ̃.tʁi
liens;ljɛ̃
lientérie;ljɑ̃.te.ʁi
lientéries;ljɑ̃.te.ʁi
lient;li
lienterie;ljɑ̃.tʁi
lienterio;li.do
liep;li.dœʁ
lier;lje
liera;li.ʁa
lierai;li.ʁe
lieraient;li.ʁɛ
lierais;li.ʁɛ
lierait;li.ʁɛ
lieras;li.ʁa
lierez;li.ʁe
lieriez;li.ʁje
lierions;li.ʁjɔ̃
liernâmes;ljɛʁ.nam
liernât;ljɛʁ.na
liernâtes;ljɛʁ.nat
liernèrent;ljɛʁ.nɛʁ
lierné;ljɛʁ.ne
liernée;ljɛʁ.ne
liernées;ljɛʁ.ne
liernés;ljɛʁ.ne
lierna;ljɛʁ.na
liernai;ljɛʁ.ne
liernaient;ljɛʁ.nɛ
liernais;ljɛʁ.nɛ
liernait;ljɛʁ.nɛ
liernant;ljɛʁ.nɑ̃
liernas;ljɛʁ.na
liernasse;ljɛʁ.nas
liernassent;ljɛʁ.nas
liernasses;ljɛʁ.nas
liernassiez;ljɛʁ.na.sje
liernassions;ljɛʁ.na.sjɔ̃
lierne;ljɛʁn
liernent;ljɛʁn
lierner;ljɛʁ.ne
liernera;ljɛʁ.nə.ʁa
liernerai;ljɛʁ.nə.ʁe
lierneraient;ljɛʁ.nə.ʁɛ
liernerais;ljɛʁ.nə.ʁɛ
liernerait;ljɛʁ.nə.ʁɛ
lierneras;ljɛʁ.nə.ʁa
liernerez;ljɛʁ.nə.ʁe
lierneriez;ljɛʁ.nə.ʁje
liernerions;ljɛʁ.nə.ʁjɔ̃
liernerons;ljɛʁ.nə.ʁɔ̃
lierneront;ljɛʁ.nə.ʁɔ̃
liernes;ljɛʁn
liernez;ljɛʁ.ne
lierniez;ljɛʁ.nje
liernions;ljɛʁ.njɔ̃
liernons;ljɛʁ.nɔ̃
lierons;li.ʁɔ̃
lieront;li.ʁɔ̃
lierre;ljɛʁ
lierres;ljɛʁ
lierrois;ljɛ.ʁwa
lierroise;ljɛ.ʁwaz
lierroises;ljɛ.ʁwaz
lies;li
liesse;ljɛs
liesses;ljɛs
lieu;ljø
lieudits;ljø.di
lieue;ljø
lieues;ljø
lieur;ljœʁ
lieus;ljø
lieuse;ljøz
lieuses;ljøz
lieutenance;li.nɔ.le.ɔm
lieutenande;ljøt.nɑ̃d
lieutenans;ljøt.nɑ̃
lieutenant;ljøt.nɑ̃
lieutenante;ljøt.nɑ̃t
lieutenants;ljøt.nɑ̃
lieux;ljø
lieuxdits;ljø.di
liez;lje
lif;ɛ̃.dis.tɛ̃
lifalansé;lə.fɛvʁ
life;lajf
lifers;ɛ̃.si.zyʁ
liftâmes;lif.tam
liftât;lif.ta
liftâtes;lif.tat
liftèrent;lif.tɛʁ
lifté;lif.te
liftée;lif.te
liftées;lif.te
liftés;lif.te
lift;lift
lifta;lif.ta
liftai;lif.te
liftaient;lif.tɛ
liftais;lif.tɛ
liftait;lif.tɛ
liftant;lif.tɑ̃
liftas;lif.ta
liftasse;lif.tas
liftassent;lif.tas
liftasses;lif.tas
liftassiez;lif.ta.sje
liftassions;lif.ta.sjɔ̃
liftata;li.zi.bi.li.ze
lifte;lift
liftent;lift
lifter;lif.te
liftera;lif.tə.ʁa
lifterai;lif.tə.ʁe
lifteraient;lif.tə.ʁɛ
lifterais;lif.tə.ʁɛ
lifterait;lif.tə.ʁɛ
lifteras;lif.tə.ʁa
lifterez;lif.tə.ʁe
lifteriez;lif.tə.ʁje
lifterions;lif.tə.ʁjɔ̃
lifterons;lif.tə.ʁɔ̃
lifteront;lif.tə.ʁɔ̃
liftes;lift
lifteur;lif.tœʁ
liftez;lif.te
liftière;lif.tjɛʁ
liftier;lif.tje
liftiers;lif.tje
liftiez;lif.tje
liftions;lif.tjɔ̃
liftons;lif.tɔ̃
lifts;lif
ligérien;li.ʒe.ʁjɛ̃
lig;laps
liga;li.dja
ligadura;lɛst
ligamens;li.ɡa.mɑ̃
ligament;li.ɡa.mɑ̃
ligamentaires;li.ɡa.mɑ̃.tɛʁ
ligamenteuse;li.ɡa.mɑ̃.tøz
ligaments;li.ɡa.mɑ̃
ligand;li.ɡɑ̃
ligar;li.ɡaʁ
ligase;li.ɡaz
ligaturâmes;li.ɡa.ty.ʁam
ligaturât;li.ɡa.ty.ʁa
ligaturâtes;li.ɡa.ty.ʁat
ligaturèrent;li.ɡa.ty.ʁɛʁ
ligaturé;li.ɡa.ty.ʁe
ligaturée;li.ɡa.ty.ʁe
ligaturées;li.ɡa.ty.ʁe
ligaturés;li.ɡa.ty.ʁe
ligatura;li.ɡa.ty.ʁa
ligaturai;li.ɡa.ty.ʁe
ligaturaient;li.ɡa.ty.ʁɛ
ligaturais;li.ɡa.ty.ʁɛ
ligaturait;li.ɡa.ty.ʁɛ
ligaturant;li.ɡa.ty.ʁɑ̃
ligaturas;li.ɡa.ty.ʁa
ligaturasse;li.ɡa.ty.ʁas
ligaturassent;li.ɡa.ty.ʁas
ligaturasses;li.ɡa.ty.ʁas
ligaturassiez;li.ɡa.ty.ʁa.sje
ligaturassions;li.ɡa.ty.ʁa.sjɔ̃
ligaturation;li.ɡa.ty.ʁa.sjɔ̃
ligature;li.ɡa.tyʁ
ligaturent;li.ɡa.tyʁ
ligaturer;li.ɡa.ty.ʁe
ligaturera;li.ɡa.ty.ʁə.ʁa
ligaturerai;li.ɡa.ty.ʁə.ʁe
ligatureraient;li.ɡa.ty.ʁə.ʁɛ
ligaturerais;li.ɡa.ty.ʁə.ʁɛ
ligaturerait;li.ɡa.ty.ʁə.ʁɛ
ligatureras;li.ɡa.ty.ʁə.ʁa
ligaturerez;li.ɡa.ty.ʁə.ʁe
ligatureriez;li.ɡa.ty.ʁə.ʁje
ligaturerions;li.ɡa.ty.ʁə.ʁjɔ̃
ligaturerons;li.ɡa.ty.ʁə.ʁɔ̃
ligatureront;li.ɡa.ty.ʁə.ʁɔ̃
ligatures;li.ɡa.tyʁ
ligaturez;li.ɡa.ty.ʁe
ligaturiez;li.ɡa.ty.ʁje
ligaturions;li.ɡa.ty.ʁjɔ̃
ligaturons;li.ɡa.ty.ʁɔ̃
lige;liʒ
ligeauté;ɛ̃.kɔʁ.pɔ.ʁabl
ligement;la.ʒid
liger;liʒ
liges;liʒ
ligesse;li.ʒɛs
ligesses;ljøz
ligga;lə.va
ligge;lav
light;lajt
ligie;li.ʒi
ligies;li.ʒi
lignâmes;li.ɲam
lignât;li.ɲa
lignâtes;li.ɲat
