Lælie;le.li
Liibüa;li.bjɛ̃
Liibanon;li.bɑ̃
Likasien;li.ka.sjɛ̃
Likenekaina;la.o
Liktenstiin;la.o
Lila;li.la
Lili;li.li
Lilia;li.lja
Lilian;li.ljɑ̃
Liliana;li.lja
Liliane;li.ljan
Lilica;li.lja
Lilija;li.lja
Lilijana;li.lja
Lilith;li.lit
Liljana;li.lja
Liljanka;li.lja
Lille;lil
Lillian;li.ljɑ̃
Lilliane;li.ljan
Lilliput;li.li.pyt
Lilloise;li.lwaz
Lilloises;li.lwaz
Lilongwé;li.lɔ̃.ɡwe
Lilongwe;li.lɔ̃.ɡwe
Lilou;li.lu
Lily;li.ljɑ̃
Lilyjar;li.ljɑ̃
Liménienne;li.me.njɛn
Lima;li.ma
Limagne;li.maɲ
Limande;ɛlb
Limbourg;lɛ̃.buʁ
Limbourgeois;lɛ̃.buʁ.ʒwa
Limbourgeoise;lɛ̃.buʁ.ʒwaz
Limbourgeoises;lɛ̃.buʁ.ʒwaz
Limburgs;lɛ̃.buʁ.ʒwa
Limentinus;ɛ̃.fo.nɥa.ʒik
Limerick;lim.ʁik
Limete;li.me.te
Limnologie;ɛlb
Limo;li.ma
Limofuracien;li.mɔ.fy.ʁa.sjɛ̃
Limofuracienne;li.mɔ.fy.ʁa.sjɛn
Limofuraciennes;li.mɔ.fy.ʁa.sjɛn
Limofuraciens;li.mɔ.fy.ʁa.sjɛ̃
Limoges;li.mɔʒ
Limougeaude;li.mu.ʒod
Limougeaudes;li.mu.ʒod
Limours;li.muʁ
Limousin;li.mu.zɛ̃
Limousine;li.mu.zin
Limousines;li.mu.zin
Limoux;li.mu
Limouxin;li.muk.sɛ̃
Limouxine;li.muk.sin
Limouxines;li.muk.sin
Limouxins;li.muk.sɛ̃
Lin;lɛ̃
Lina;li.na
Linas;li.nas
Linda;lin.da
Lindar;li.ljɑ̃
Lindari;li.ljɑ̃
Lindars;li.ljɑ̃
Lindberg;li.ljɑ̃
Lindbergs;li.ljɑ̃
Lindenblüte;li.mu.zin
Lindica;li.na
Lindu;li.ljɑ̃
Line;lin
Lingèvres;lɛ̃.ʒɛvʁ
Link;la.tɛk
Linné;li.ne
Linnutee;la.o
Linois;li.nwa
Linus;li.nys
Linux;li.nyks
Lion;ljɔ̃
Lionel;ljɔ.nɛl
Lions;ljɔ̃
Lippenstift;lɑ̃s.flam
Lipschitz;lip.ʃits
Liquor;la.tɛk
Lisa;li.za
Lisabon;liz.bɔn
Lisbeth;li.ljɑ̃
Lisbethar;li.ljɑ̃
Lisboète;liz.bɔ.ɛt
Lisboa;liz.bɔn
Lisbonne;liz.bɔn
Lisbono;liz.bɔn
Lisbonum;liz.bɔn
Lise;liz
Liselotte;liz.lɔt
Liseron;li.zʁɔ̃
Lisette;li.zɛt
Lisieux;li.zjø
Lisle;lil
Lison;li.zɔ̃
Lisores;li.zɔʁ
Lisp;lisp
Lissabon;liz.bɔn
Lisses;lis
Listenstaina;la.o
Litauer;la.tɛk
Litauerin;la.tɛk
Litauisch;li.mu.zin
Litholatrie;la.tɛk
Lithuanie;litɥani
Lithuanien;li.tɥa.njɛ̃
Lithuanienne;li.tɥa.njɛn
Lithuaniennes;li.tɥa.njɛn
Lithuaniens;li.tɥa.njɛ̃
Litotes;la.tɛk
Litteau;li.to
Littré;li.tʁe
Lituanie;li.tɥa.ni
Lituanien;li.tɥa.njɛ̃
Lituanienne;li.tɥa.njɛn
Lituaniennes;li.tɥa.njɛn
Lituaniens;li.tɥa.njɛ̃
Liturgie;ɛɡ.ze.ky.tiv
Liu;lju
Liucerna;ɛ̃.ʒe.ni.ʁi
Liv;li.ljɑ̃
Livaie;li.vɛ
Livar;li.ljɑ̃
Livarot;li.va.ʁɔ
Livernonois;li.vɛʁ.nwa
Liverpool;li.vœʁ.pul
Liverpudlian;ɛ̃.bi.ta.bi.li.te
Liverpulis;li.vœʁ.pul
Livia;li.vja
Livie;li.vi
Livilliers;li.vi.lje
Livournais;li.vuʁ.nɛ
Livournaise;li.vuʁ.nɛz
Livournaises;li.vuʁ.nɛz
Livourne;li.vuʁn
Livry;li.vʁi
Lixténshtéyn;la.o
Lixtenshteyn;la.o
Lixy;li.ksi
Liyon;ljɔ̃s
Lizbona;liz.bɔn
Lizenz;ɛlb
Lizy;li.zi
Ljubljana;ljub.lja.na
Llanero;la.ne.ʁo
Llens;lɛs.bi.ze
Lleonard;lakʁuks
Lleopard;lakʁuks
Lli;lakʁuks
Llodrigues;ɛ̃.tɛʁk.ʁe.tjɛn
Llogari;lakʁuks
Llorà;lakʁuks
Lloyd;ɛ̃.tɛʁ.fa.saʒ
Llubià;lakʁuks
Loïc;lɔ.ik
Lo;lo
Loana;lɔ.a.na
Loara;le.ʒe
Lob;lɔb
Lobby;lɑ̃s.flam
Locenvellois;lɔ.kɛn.vɛ.lwa
Lochabérais;lɔ.ka.be.ʁɛ
Lochabérien;lɔ.ka.be.ʁjɛ̃
Loches;lɔʃ
Lochia;li.mu.zin
Lochkovien;lɔtʃ.kɔ.vjɛ̃
Locrian;lɔk.ʁi.jɛ̃
Locride;lɔk.ʁid
Locridien;lɔk.ʁi.djɛ̃
Locrien;lɔk.ʁi.jɛ̃
Locris;lɔk.ʁid
Locronan;lok.ʁɔ.nɑ̃
Lodève;lɔ.dɛv
Lofn;li.ljɑ̃
Lofnar;li.ljɑ̃
Loft;lɔft
Lofti;li.ljɑ̃
Lofts;li.ljɑ̃
Loftur;li.ljɑ̃
Loftveig;li.ljɑ̃
Loftveigar;li.ljɑ̃
Loftveigu;li.ljɑ̃
Loga;li.ljɑ̃
Logarithmus;li.mu.zin
Loge;lo.ɡə
Logey;li.ljɑ̃
Logeyjar;li.ljɑ̃
Logeyju;li.ljɑ̃
Logi;li.ljɑ̃
Logis;lo.ʒi
Loing;lwɛ̃
Loiré;lwa.ʁe
Loirétain;lwa.ʁe.tɛ̃
Loir;lwaʁ
Loire;lwaʁ
Loiret;lwa.ʁɛ
Loisail;lwa.saj
Loka;li.ljɑ̃
Lokeans;ɛ̃.tɛ.lɛk.sjɔ̃
Loki;lɔ.ki
Lola;lo.la
Lollarde;lo.laʁd
Lollardes;lo.laʁd
Lollards;lo.laʁ
Lomé;lo.me
Lombaire;lɔ̃.bɛʁ
Lombard;lɔ̃.baʁ
Lombarde;lɔ̃.baʁd
Lombardes;lɔ̃.baʁd
Lombardie;lɔ̃.baʁ.di
Lombards;lɔ̃.baʁ
Lombreuillois;li.dit
Londinierais;lɔ̃.di.njɛ.ʁɛ
Londinieraise;lɔ̃.di.njɛ.ʁɛz
Londinieraises;lɔ̃.di.njɛ.ʁɛz
London;lɔn.dɔn
Londonien;lɔ̃.dɔ.njɛ̃
Londres;lɔ̃dʁ
Longan;lɔ̃.ɡan
Longchamp;lɔ̃.ʃɑ̃
Longchamps;lɔ̃.ʃɑ̃
Longitudinalwelle;ɛɡ.ze.ky.tiv
Longjumeau;lɔ̃.ʒy.mo
Longnes;lɔ.ɲ
Longraye;lɔ̃.ʁɛ
Longuenoë;lɔ̃ɡ.nɔ.e
Longueville;lɔ̃ɡ.vil
Longuyon;lɔ̃.ɡjɔ̃
Longvillers;lɔ̃.vi.lɛʁ
Longvilliers;lɔ̃.vi.lje
Longwy;lɔ̃.wi
Lonrai;lɔ̃.ʁɛ
Lopérecoise;lɔ.pe.ʁə.kwaz
Lopez;lɔ.pɛz
Lorène;lɔ.ʁɛn
Loré;lɔ.ʁe
Loréa;lɔ.ʁɛa
Lorétain;lɔ.ʁe.tɛ̃
Lora;lɔ.ʁa
Lorazepam;lɔ.ʁa.ze.pam
Lorelei;lɔ.ʁə.laj
Lorelie;lɔ.ʁɛ.li
Lorella;lɔ.ʁɛ.la
Lorena;lɔ.ʁe.na
Loreno;lɔ.ʁɛn
Lorenza;lɔ.ʁɛn.za
Lorenzo;lɔ.ʁɛn.zo
Loretain;lɔ.ʁə.tɛ̃
Loretta;lɔ.ʁɛ.ta
Lorettain;lɔ.ʁɛ.tɛ̃
Lorette;lɔ.ʁɛt
Lorettevillien;lɔ.ʁɛt.vi.ljɛ̃
Lorettevillois;lɔ.ʁɛt.vi.lwa
Lorettois;lɔ.ʁɛ.twa
Loreymardénien;lɔ.ʁɛ.maʁ.de.njɛ̃
Loreymardénienne;lɔ.ʁɛ.maʁ.de.njɛn
Loreymardéniennes;lɔ.ʁɛ.maʁ.de.njɛn
Loreymardéniens;lɔ.ʁɛ.maʁ.de.njɛ̃
Lorgnon;lɔʁ.ɲɔ̃
Loria;lɔ.ʁja
Loriane;lɔ.ʁjan
Lorie;lɔ.ʁi
Lorient;lɔ.ʁjɑ̃
Lorientais;lɔ.ʁjɑ̃.tɛ
Lorine;lɔ.ʁin
Loriquet;lɔ.ʁi.kɛ
Loropéni;lɔ.ʁɔ.pe.ni
Loroum;lɔ.ʁum
Lorréziennes;lɔ.ʁe.zjɛn
Lorrain;lɔ.ʁɛ̃
Lorraine;lɔ.ʁɛn
Lorraines;lɔ.ʁɛ̃
Lorrains;lɔ.ʁɛ̃
Lorrainvillois;lɔ.ʁɛ̃.vi.lwa
Lorry;lɔ.ʁi
